# Mongolian Wordnet (MonWN)	mon	https://github.com/kbatsuren/monwn	CC BY 4.0
06194409-n	mon:def 0	тодорхой нийгмийн бүлэг болон байгууллын онцлогийг илтгэсэн зан төлөв болон хандлага
00039021-n	mon:lemma	харилцан үйлчлэл
00039021-n	mon:def 0	олон талт харилцан үйлчлэл
01193099-v	mon:lemma	залгилах
01193099-v	mon:lemma	гудрах
00039211-n	mon:lemma	харилцан үйлдэл
00039211-n	mon:lemma	уялдаа холбоо
00039297-n	mon:lemma	харилцаа холбоо
13790492-n	mon:lemma	тэнцүү байдал
13790492-n	mon:lemma	тэгш
13790492-n	mon:lemma	тэгшлэх
13790492-n	mon:lemma	тууштай
13790492-n	mon:lemma	тэнцвэрт чанар
13790492-n	mon:lemma	дүрэм журамтай
01193569-v	mon:lemma	туслах
01193569-v	mon:lemma	дэмжих
13790133-n	mon:lemma	тэгш эрх
06195249-n	mon:lemma	хамгаалалт
13790712-n	mon:lemma	суурь
13790712-n	mon:def 0	Ямар нэгэн суурьшсан зүйл дээр үндэслэх
00039916-n	mon:lemma	заль мэх
00039916-n	mon:def 0	залилах үйлдэл
06195555-n	mon:lemma	их зан
06195555-n	mon:def 0	бусдыг үл тоож их зан гаргах байдал
13791122-n	mon:lemma	нийтлэг зүйл
06195839-n	mon:lemma	сэтгэлгээ
06195839-n	mon:lemma	оюуны чадвар
06195839-n	mon:lemma	харах өнцөг
06195839-n	mon:def 0	тодорхой нэгэн үйл явдалд хэрхэн хандах, хариу өгөхийг тань тодорхойлдог оюун санааны тогтсон хандлага
13790912-n	mon:lemma	тулгуурын цэг
13790912-n	mon:lemma	үндсэн
13790912-n	mon:lemma	хөрс
13790912-n	mon:def 0	ямар нэг зүйлийн үндэс суурийг хангах нь харилцаа
13791389-n	mon:lemma	холбоо
13791389-n	mon:def 0	Ямар нэгэн зүйл эсвэл үйл явдлуудын хоорондын харилцаа
13791250-n	mon:lemma	доод шатны
13791250-n	mon:def 0	чухал үндэс суурь, эсвэл эх үүсвэр
06196284-n	mon:lemma	хандлага
06196284-n	mon:lemma	байдал
13792183-n	mon:lemma	химийн холбоо
13792183-n	mon:lemma	ураг төрлийн холбоо
13791910-n	mon:lemma	цуваа
01194938-v	mon:lemma	таргал
01194938-v	mon:lemma	тэвээр
06196584-n	mon:lemma	чиг
06196584-n	mon:lemma	зан
06196584-n	mon:lemma	хандлага
13792579-n	mon:lemma	хөшүүргэн дамжуурга
13792579-n	mon:def 0	элэгсэг дотно харьцаа
06197215-n	mon:lemma	хандлага
06197215-n	mon:lemma	цаашдын чиглэл
00041188-n	mon:lemma	тоглолт
00041188-n	mon:def 0	тоглоом, спорт эсвэл зугаа цэнгэлийн ажиллагааны хэсэг
06197503-n	mon:lemma	тенор дуучин
00041468-n	mon:lemma	тоглоом
00041468-n	mon:lemma	туялзуур жад
00041468-n	mon:def 0	илд зэвсэг хэрэглэх ур чадвар
01195299-v	mon:lemma	үз
01195299-v	mon:lemma	амтал
13792842-n	mon:lemma	харилцаа холбоо
06197664-n	mon:lemma	байдал
06197664-n	mon:lemma	чиг хандлага
01196037-v	mon:lemma	боль
01196037-v	mon:lemma	зогсоо
13792692-n	mon:lemma	холбоо
13792692-n	mon:lemma	уялдаа холбоо
13792692-n	mon:lemma	холболт
13793330-n	mon:lemma	гүүр
13793127-n	mon:lemma	харилцан холбоо
00042311-n	mon:lemma	учир холбогдол
01196653-v	mon:lemma	ховдоглон үмхэл
13793504-n	mon:lemma	оролцоо
00042757-n	mon:lemma	гарах
00042757-n	mon:lemma	мордох
13794226-n	mon:lemma	холбоогүй байх
13794226-n	mon:def 0	юмсын хооронд холболт байхгүй
01197014-v	mon:lemma	ховдоглон үмхэл
06199142-n	mon:lemma	ойлголт
01196802-v	mon:lemma	эцэслэх
01196802-v	mon:lemma	төгсөх
01196802-v	mon:lemma	төгсгөх
01196802-v	mon:lemma	дуусгах
00043195-n	mon:lemma	олбор
00043195-n	mon:lemma	олдвор
01197338-v	mon:lemma	боловсруулах
01197338-v	mon:lemma	шингээх
13794417-n	mon:lemma	хамаарал
06199561-n	mon:lemma	гаж зан
06199561-n	mon:lemma	дон
13794885-n	mon:lemma	цэг
01197980-v	mon:lemma	амьсгаалах
01197980-v	mon:lemma	татах
01197980-v	mon:lemma	сорох
06200344-n	mon:lemma	чухалчлах
06200344-n	mon:lemma	илүүд үзэх
01198452-v	mon:lemma	тамхи угсруул
01198452-v	mon:lemma	тамхи ар араас нь тат
00045250-n	mon:lemma	хөдөлгөх
00045250-n	mon:lemma	хөдөлгөгч
01198779-v	mon:lemma	үнэртэх
01198779-v	mon:lemma	залгих
01198779-v	mon:lemma	амьсгалах
01198779-v	mon:lemma	амьсгаа авах
13795834-n	mon:lemma	хамаарахгүй байдал
13795834-n	mon:lemma	нийцэхгүй
06200929-n	mon:lemma	нохойн үүр
01199213-v	mon:lemma	тарилга хийх
01199213-v	mon:lemma	тариа тарих
01199009-v	mon:lemma	татах
13796779-n	mon:lemma	хэлзүйн холбоо
13796779-n	mon:def 0	хэлзүйд суурилсан хэл шинжлэлийн холбоо
01199487-v	mon:lemma	залги
00047106-n	mon:lemma	гавьяа
00047106-n	mon:def 0	хүлээн зөвшөөрөгдсөн аливаа амжилт
06201908-n	mon:lemma	хэвшиж тогтсон үзэл
06201908-n	mon:lemma	хэвшсэн үзэл санаа
06201908-n	mon:lemma	явцуу бодол
06201908-n	mon:lemma	туйлширсан бодол
06201908-n	mon:lemma	хэвшсэн санаа
06201908-n	mon:lemma	өрөөсгөл бодол
13797142-n	mon:lemma	хэл шинжлэлийн харилцаа
13797142-n	mon:def 0	хэлний хэлбэр буюу бүрэлдэхүүн хоорондын харилцаа
06202553-n	mon:lemma	шударга бус
06202686-n	mon:lemma	тал тохой татахгүй байх
06202686-n	mon:lemma	алагчлахгүй байх
13798301-n	mon:lemma	эс тусах чанар
13798301-n	mon:def 0	эс тусах үйл үгийн хэлзүйн холбоо
00048225-n	mon:lemma	ололт
00048225-n	mon:lemma	амжилт
06203030-n	mon:lemma	шударга
13798118-n	mon:lemma	үйл үгийн тусах байдал
13798118-n	mon:def 0	үйл үгийн тусах, эс тусах чанарт тулгуурласан хэлзүйн дүрэм
00048374-n	mon:lemma	айлчлал
00048374-n	mon:def 0	тодорхой нэг газар очих үйлдэл
13798814-n	mon:lemma	болзолт рефлекс
00048828-n	mon:lemma	цаг үе
00048828-n	mon:lemma	боломж
00048828-n	mon:lemma	эрин
13798491-n	mon:lemma	тусах байдал
06203472-n	mon:lemma	ижил хүйсэнтэйгээ нөхцөхийг үл тэсвэрлэх
01201856-v	mon:lemma	залгих
06203956-n	mon:lemma	жүүдийн эсрэг үзэл
06203956-n	mon:lemma	еврейн эсрэг үзэл
01202374-v	mon:lemma	залги
13799392-n	mon:lemma	холбоос
13799392-n	mon:def 0	хэлний нэгжүүдийг (үг, холбоо үг, өгүүлбэр) холбох хэлшинжлэлийн холбоос
06204406-n	mon:lemma	хүлээцтэй
06204406-n	mon:def 0	бусдын туршлага болон итгэж байгаа зүйлд хүндэтгэлтэй хандаж ойлгох хүсэл эрмэлзэл
01202651-v	mon:lemma	залгил
06204623-n	mon:lemma	хүлээцтэй зан чанар
06204623-n	mon:lemma	өгөөмөр зан
06204623-n	mon:lemma	уудам сэтгэл
06204623-n	mon:lemma	агуу сэтгэл
00050037-n	mon:lemma	бүртгэл
01203234-v	mon:lemma	хавчуулагдах
00050195-n	mon:lemma	гарах
00050195-n	mon:lemma	тоглох
06205018-n	mon:lemma	хэний ч талд ороогүй байх
06205018-n	mon:lemma	төвийг сахисан хандлага
13800418-n	mon:lemma	тусагдахуун
13800418-n	mon:def 0	өгүүлэхүүн гишүүнд захирагдсан үг, холбоо үгийн хэлзүйн нэр
06205154-n	mon:lemma	хүлээцгүй
06205154-n	mon:def 0	бусдын туршлага болон итгэж байгаа зүйлд хүндэтгэлтэй хандаж ойлгох хүсэл эрмэлзэлгүй
00051077-n	mon:lemma	дахин мандах
00051077-n	mon:lemma	дахин босгох
00051077-n	mon:lemma	сэргээх
00051077-n	mon:lemma	дахин гарч ирэх
13800675-n	mon:lemma	угсруулах холбоо
13800675-n	mon:def 0	нэг нь нөгөөдөө захирагдсан хэлзүйн холбоо
00051192-n	mon:lemma	буцах
00051192-n	mon:lemma	эх орондоо ирэх
13801700-n	mon:lemma	заах төлөв
00051525-n	mon:lemma	нэвтрэх
00051712-n	mon:lemma	нэвчилт
00051712-n	mon:lemma	шингэлт
06206210-n	mon:lemma	муйхар зан
00052052-n	mon:lemma	усан онгоц зогсох
13801937-n	mon:lemma	хүсэн болзох төлөв
06206800-n	mon:lemma	хүндэтгэл
06206800-n	mon:def 0	хүндэтгэн үнэлж буй хандлага
00052500-n	mon:lemma	газардах
00052500-n	mon:lemma	газардалт
00052500-n	mon:lemma	буух
00052500-n	mon:lemma	буулт
06207029-n	mon:lemma	хүндэтгэл
06207199-n	mon:lemma	нэр төр
06207199-n	mon:lemma	нэр хүнд
13802634-n	mon:lemma	горим
13802634-n	mon:lemma	арга зам
00052791-n	mon:lemma	ослын буулт
01206218-v	mon:lemma	хүрэх
01206218-v	mon:lemma	хөндөх
01206218-v	mon:lemma	хөдөлгөх
06207437-n	mon:lemma	хүндэтгэлгүй
06207437-n	mon:def 0	хүндэтгэлгүй хандах хандлага
06207561-n	mon:lemma	бишрэл
